iter	Logloss
0	0.6672379964
1	0.6368601391
2	0.6145100066
3	0.5906719718
4	0.5688817274
5	0.5488107361
6	0.5277248576
7	0.51139874
8	0.4981154919
9	0.481156962
10	0.4678236048
11	0.4542494819
12	0.4424436879
13	0.4308643592
14	0.419665091
15	0.4088565003
16	0.3958558114
17	0.3847522531
18	0.3740837049
19	0.3660575931
20	0.3569027157
21	0.3503744166
22	0.3431139069
23	0.3351726172
24	0.3273022737
25	0.3213385462
26	0.3155088129
27	0.3101975343
28	0.3049626758
29	0.2986790503
30	0.293590797
31	0.2890363862
32	0.2848382883
33	0.2787405766
34	0.2749025735
35	0.2712704349
36	0.2678599459
37	0.2647554638
38	0.2609560047
39	0.2584864291
40	0.2553932055
41	0.2517028502
42	0.2486913513
43	0.2461170844
44	0.2428730637
45	0.239957672
46	0.2369198957
47	0.2343670761
48	0.2316725049
49	0.2292773628
50	0.2266563816
51	0.2246993019
52	0.2214601112
53	0.2194254242
54	0.2173988872
55	0.214532636
56	0.2122461094
57	0.2105419714
58	0.2088095634
59	0.2063766963
60	0.204361843
61	0.2026660344
62	0.2012537569
63	0.1997374183
64	0.1976432845
65	0.1959772429
66	0.1949438642
67	0.1933873742
68	0.1917266523
69	0.1901792155
70	0.1889142271
71	0.187360073
72	0.186089706
73	0.1848057037
74	0.184027527
75	0.1828895595
76	0.1816934298
77	0.180813805
78	0.179473435
79	0.1780373831
80	0.1767505647
81	0.1753928593
82	0.1743420438
83	0.1732101425
84	0.1723876198
85	0.1711725092
86	0.1699303776
87	0.1690334963
88	0.1678868105
89	0.1668055811
90	0.165543058
91	0.1647119248
92	0.1638025319
93	0.1628855916
94	0.1621957135
95	0.1610238019
96	0.1601793612
97	0.1592218404
98	0.1580305805
99	0.1571963517
