iter	Passed	Remaining
0	0	91
1	1	85
2	2	83
3	3	84
4	4	82
5	5	81
6	5	79
7	6	77
8	7	75
9	8	73
10	9	72
11	9	71
12	10	70
13	11	69
14	12	68
15	12	67
16	14	69
17	14	67
18	15	67
19	16	67
20	17	66
21	18	65
22	19	64
23	19	63
24	20	62
25	21	61
26	22	60
27	23	59
28	23	58
29	24	57
30	25	56
31	25	55
32	26	54
33	26	52
34	27	51
35	28	50
36	29	49
37	29	48
38	30	47
39	31	47
40	32	46
41	33	46
42	34	45
43	34	44
44	35	43
45	36	42
46	37	41
47	37	41
48	38	40
49	39	39
50	40	38
51	40	37
52	40	36
53	41	35
54	42	34
55	42	33
56	43	32
57	44	32
58	45	31
59	45	30
60	45	29
61	46	28
62	47	27
63	48	27
64	49	26
65	49	25
66	50	25
67	51	24
68	52	23
69	53	22
70	54	22
71	54	21
72	55	20
73	56	19
74	57	19
75	58	18
76	59	17
77	60	17
78	61	16
79	62	15
80	63	14
81	64	14
82	65	13
83	65	12
84	66	11
85	67	10
86	68	10
87	69	9
88	69	8
89	70	7
90	71	7
91	72	6
92	72	5
93	73	4
94	74	3
95	75	3
96	76	2
97	77	1
98	77	0
99	78	0
